Date,Open,High,Low,Close,Volume,AdjClose
1/1/2003,85.25,85.25,85.25,85.25,0,82.89
1/2/2003,85.75,86.25,85.5,86,4845300,83.62
1/3/2003,87.75,87.75,87.5,87.5,4116300,85.08
1/6/2003,88.25,89,88,88.5,7081500,86.05
1/7/2003,88.75,89,88,88.75,6454200,86.29
1/8/2003,88.25,89.5,88.25,88.75,11349400,86.29
1/9/2003,88,88.5,87.75,88.25,6137200,85.81
1/10/2003,88.25,88.75,88,88.5,4936800,86.05
1/13/2003,88.5,89.25,88.5,88.75,5967600,86.29
1/14/2003,88.5,88.75,88.25,88.25,5394800,85.81
1/15/2003,88.5,89,88.25,88.75,3963300,86.29
1/16/2003,88.25,88.5,87.5,87.75,7210900,85.32
1/17/2003,87.75,87.75,87,87.25,8349200,84.84
1/20/2003,86.75,87.5,86.75,87.25,7181600,84.84
1/21/2003,87.25,87.25,86.75,87,5260000,84.59
1/22/2003,86,86.25,85.5,86.25,11526200,83.86
1/23/2003,85,85.75,85,85.75,14038500,83.38
1/24/2003,85.25,85.25,84.5,85,18302900,82.65
1/27/2003,83.75,84,83.5,83.5,9749500,81.19
1/28/2003,82.5,83.5,82.5,83.25,13921100,80.95
1/29/2003,82.5,82.5,82,82.25,15735900,79.97
1/30/2003,82,82.25,81.5,82,14693500,79.73
1/31/2003,82,82,82,82,0,79.73
2/3/2003,82,82,82,82,0,79.73
2/4/2003,83,83,82.5,82.75,6296400,80.46
2/5/2003,82.25,82.5,82,82.25,4685900,79.97
2/6/2003,82.25,82.5,81.5,82,9159300,79.73
2/7/2003,81.5,82,81.25,82,6636100,79.73
2/10/2003,82,82.75,82,82.75,4033500,80.46
2/11/2003,82.5,82.75,82,82.25,6960500,79.97
2/12/2003,82,83,81.75,82.75,9186200,80.46
2/13/2003,82.5,83,82,82.5,6884500,80.22
2/14/2003,83,83.75,83,83.5,9186000,81.19
2/17/2003,83.75,84.25,83.75,84,8639800,81.68
2/18/2003,84,84.5,83.75,84.25,5397000,81.92
2/19/2003,84.75,84.75,84.25,84.5,6137900,82.16
2/20/2003,84.5,85,84.5,84.75,7353100,82.41
2/21/2003,84.75,84.75,83.75,84,6683300,81.68
2/24/2003,84.25,84.5,84,84.25,4111600,81.92
2/25/2003,83.5,83.75,83.25,83.5,5688700,81.19
2/26/2003,83.25,83.5,83,83.25,4008100,80.95
2/27/2003,82.75,83.5,82.5,83.25,8516400,80.95
2/28/2003,83.25,83.5,83.25,83.5,4911800,81.19
3/3/2003,84,85,84,84.75,9297800,82.41
3/4/2003,84.5,84.75,84,84.25,6325700,81.92
3/5/2003,83.5,83.75,83.25,83.75,8197000,81.43
3/6/2003,83.5,83.75,83,83,7230900,80.7
3/7/2003,82.75,83,82.5,82.75,6595900,80.46
3/10/2003,82.75,83,82.5,83,7284700,80.7
3/11/2003,81.75,82.25,81.75,82,12827700,79.73
3/12/2003,82,82.5,82,82.25,5462700,79.97
3/13/2003,81.75,81.75,81.25,81.25,9950700,79
3/14/2003,82.75,83,82.5,83,9048700,80.7
3/17/2003,82.75,83,82.5,82.5,6756400,80.22
3/18/2003,84.25,84.5,84,84.25,10552100,81.92
3/19/2003,82.25,83.5,82,83.5,13139600,81.5
3/20/2003,83.75,84.25,83.25,83.75,15242700,81.75
3/21/2003,83.75,84,83.25,83.75,7398400,81.75
3/24/2003,84,84,83,83,10740600,81.02
3/25/2003,82.25,82.75,82.25,82.5,8888900,80.53
3/26/2003,82.5,82.75,82,82.5,8970600,80.53
3/27/2003,82.5,82.5,81.5,81.5,12399100,79.55
3/28/2003,81.5,82,81.5,81.5,9656500,79.55
3/31/2003,80.75,81,80,80.25,19670200,78.33
4/1/2003,80.25,80.5,79.5,80.5,17374700,78.58
4/2/2003,80.75,81.75,80.5,81.75,16810600,79.8
4/3/2003,82.25,82.5,81.75,82,14349900,80.04
4/4/2003,82.25,83,82,82.75,13610200,80.77
4/7/2003,82.75,84,82.5,84,12839400,81.99
4/8/2003,83.75,84,83.25,83.75,10132000,81.75
4/9/2003,83.5,83.5,82.25,83,14154300,81.02
4/10/2003,82.5,83,82.25,82.75,8899600,80.77
4/11/2003,82.75,83,82.5,83,8252800,81.02
4/14/2003,82.75,82.75,82,82.5,7268400,80.53
4/15/2003,83,83.5,82.75,83.25,10709200,81.26
4/16/2003,83.5,84.25,83.25,84,10861800,81.99
4/17/2003,83.5,83.5,83,83.25,8218000,81.26
4/18/2003,83.25,83.25,83.25,83.25,0,81.26
4/21/2003,83.25,83.25,83.25,83.25,0,81.26
4/22/2003,83,83.25,82.75,83,7038600,81.02
4/23/2003,84,84,83.5,83.75,11843800,81.75
4/24/2003,83.25,83.5,82.5,82.75,8738200,80.77
4/25/2003,82,82.25,81.5,81.75,14716600,79.8
4/28/2003,81,81.75,80.75,81.5,12576700,79.55
4/29/2003,82.75,84.5,82.75,84.5,22386200,82.48
4/30/2003,85,85.25,84.5,85.25,24836900,83.21
5/1/2003,85.25,85.25,85.25,85.25,0,83.21
5/2/2003,84.75,85.5,84.75,85.5,11028000,83.46
5/5/2003,86.5,86.75,86,86.25,9089500,84.19
5/6/2003,86.25,86.5,85.75,86.25,8337200,84.19
5/7/2003,87.25,87.5,86.75,87,15871300,84.92
5/8/2003,87,87,87,87,0,84.92
5/9/2003,88,89.25,87.5,89.25,25027400,87.12
5/12/2003,89.75,90,89,89,13761900,86.87
5/13/2003,89.25,89.25,88.25,88.5,10017900,86.38
5/14/2003,88.5,89.25,88.5,89.25,11103500,87.12
5/15/2003,89.25,90,89,89.75,10607400,87.6
5/16/2003,90,90,88.75,89.25,11537700,87.12
5/19/2003,89.75,90,89.5,90,9060700,87.85
5/20/2003,88.75,89.25,88.5,89,10388300,86.87
5/21/2003,89.5,89.75,89.25,89.5,5042800,87.36
5/22/2003,89,89.75,89,89.25,5849800,87.12
5/23/2003,89.75,90.75,89.75,90.5,12195500,88.34
5/26/2003,91,91.75,90.75,91.5,7445000,89.31
5/27/2003,91.5,91.5,90.75,91,9073600,88.82
5/28/2003,92.25,92.75,92,92.75,18512800,90.53
5/29/2003,93,93.5,92.75,93.25,13993600,91.02
5/30/2003,93,93.5,92.75,93.25,7471200,91.02
6/2/2003,93.25,93.5,93,93,7231200,90.78
6/3/2003,93.25,93.5,92.75,93,9152800,90.78
6/4/2003,93,93,93,93,0,90.78
6/5/2003,93.75,94,93.5,93.75,7783200,91.51
6/6/2003,94,94.5,93.5,94.25,11775500,92
6/9/2003,94.75,95,94.25,95,9031800,92.73
6/10/2003,94,94.25,93.5,94,12884900,91.75
6/11/2003,93.75,94,93.25,93.5,13797700,91.27
6/12/2003,94.25,95,94.25,95,12150100,92.73
6/13/2003,95,95.5,94.5,95,11879600,92.73
6/16/2003,94.75,95.5,94.75,95.5,6086200,93.22
6/17/2003,96.75,97,96.5,97,10287100,94.68
6/18/2003,97.5,97.5,96.75,96.75,10681200,94.44
6/19/2003,97,97,96.5,96.5,8542200,94.19
6/20/2003,95.75,96,95.5,96,7556300,93.71
6/23/2003,95.5,95.75,94,94.25,9969400,92
6/24/2003,94.25,94.25,93.75,94,8311400,91.75
6/25/2003,94.25,94.75,94,94.25,7274100,92
6/26/2003,93.25,93.5,92.75,93.25,11433600,91.02
6/27/2003,93.25,93.75,93,93.25,8042600,91.02
6/30/2003,92.75,93,92.25,92.75,8425800,90.53
7/1/2003,92.75,92.75,92.75,92.75,0,90.53
7/2/2003,92,92.25,91.5,91.75,13772700,89.56
7/3/2003,92.5,93,92.25,92.5,7798800,90.29
7/4/2003,92.25,92.75,91.75,92.75,5757000,90.53
7/7/2003,93.25,94,92.5,94,14750900,91.75
7/8/2003,94.75,95,94.25,94.5,11052700,92.24
7/9/2003,94.25,95,94.25,94.25,10533300,92
7/10/2003,94.25,94.5,93.5,93.5,6519900,91.27
7/11/2003,93,93.75,93,93.5,6230400,91.27
7/14/2003,94.25,94.75,94.25,94.75,4166000,92.49
7/15/2003,95.25,95.5,94.5,95,10343800,92.73
7/16/2003,95,96,95,95.5,12355400,93.22
7/17/2003,94.75,95.25,94.25,94.75,14013000,92.49
7/18/2003,94.25,95.25,94,95,10003300,92.73
7/21/2003,95,95.25,94.5,94.75,8075900,92.49
7/22/2003,94.25,94.5,93.75,94.5,7453200,92.24
7/23/2003,94.25,94.5,93.75,93.75,7435400,91.51
7/24/2003,94,94.5,93.75,93.75,7500400,91.51
7/25/2003,93.75,94.5,93.75,94.25,7133000,92
7/28/2003,95,96,95,95.75,13314100,93.46
7/29/2003,95.75,96,95.5,95.75,4885600,93.46
7/30/2003,95.75,96,95.25,95.75,10338200,93.46
7/31/2003,95.75,96.25,95.5,95.5,8515700,93.22
8/1/2003,96,97.25,96,96.75,12332100,94.44
8/4/2003,96.25,97,95.5,95.75,9945000,93.46
8/5/2003,98,98.25,96.75,96.75,20570200,94.44
8/6/2003,96.25,96.25,95.5,95.5,11817000,93.22
8/7/2003,95.75,96.25,95.75,95.75,10479600,93.46
8/8/2003,96.25,96.5,95.75,96,8051800,93.71
8/11/2003,96.5,97.25,96.5,97,6180000,94.68
8/12/2003,97.25,97.5,96.75,97.25,8920400,94.93
8/13/2003,98.25,99.25,98.25,99,20870000,96.63
8/14/2003,100,100.5,99.5,100.5,18817800,98.1
8/15/2003,102,102,102,102,16007300,99.56
8/18/2003,102,102.5,101,102,13347400,99.56
8/19/2003,102,102,101,101.5,7341300,99.07
8/20/2003,100,100.5,99.25,99.5,15049500,97.12
8/21/2003,99.5,100.5,99.25,100.5,9813300,98.1
8/22/2003,100,100.5,99.75,100.5,7007400,98.1
8/25/2003,99.75,100.5,99.75,100,7855700,97.61
8/26/2003,99.75,99.75,99.25,99.75,6443500,97.37
8/27/2003,99.5,99.75,98.75,99,7598800,96.63
8/28/2003,99.25,100,99.25,99.75,5991700,97.37
8/29/2003,100.5,102,100,101.5,14179700,99.07
9/1/2003,101,101.5,100,100,9565300,97.61
9/2/2003,100.5,100.5,100,100.5,4567100,98.1
9/3/2003,101,101.5,100.5,101.5,6996300,99.07
9/4/2003,101.5,102,100.5,101,7770500,98.59
9/5/2003,101,101.5,100.5,101.5,4276300,99.07
9/8/2003,101,102,100.5,102,7026800,99.56
9/9/2003,102.5,102.5,101.5,101.5,6223300,99.07
9/10/2003,101,101,100,100,11348000,97.61
9/11/2003,100,100.5,100,100.5,4087200,98.1
9/12/2003,100.5,100.5,100.5,100.5,0,98.1
9/15/2003,100.5,101.5,100,101,6465700,98.59
9/16/2003,100.5,101.5,100,101.5,6556900,99.07
9/17/2003,102,102.5,101.5,102,10214100,99.56
9/18/2003,102,103,101.5,102.5,13182700,100.05
9/19/2003,103.5,104,103,103.5,14114600,101.03
9/22/2003,103,103.5,102,103,9230700,100.54
9/23/2003,103,103.5,102.5,102.5,7307200,100.05
9/24/2003,103,104.5,102.5,104,10911300,101.51
9/25/2003,104.5,106,104.5,105,15362500,102.49
9/26/2003,105,105,104,104.5,7110700,102
9/29/2003,104,104,103,103.5,10713800,101.03
9/30/2003,104,105,104,104.5,7363400,102
10/1/2003,104.5,104.5,104.5,104.5,0,102
10/2/2003,105,106.5,105,105.5,16175700,102.98
10/3/2003,106.5,107.5,106,107.5,12315000,104.93
10/6/2003,108,109,107.5,108,12018300,105.42
10/7/2003,108,109,108,109,7465400,106.39
10/8/2003,109,110,108.5,109,10176600,106.39
10/9/2003,109,109,108,108.5,7333200,105.91
10/10/2003,110,110,109,109.5,7246800,106.88
10/13/2003,109.5,110,108.5,109,5300200,106.39
10/14/2003,110,110.5,109,109,7438900,106.39
10/15/2003,110,111.5,109.5,111.5,10888100,108.83
10/16/2003,110.5,111.5,110.5,110.5,5797200,107.86
10/17/2003,111,111.5,110,111,6513800,108.35
10/20/2003,110,111.5,110,111.5,8476400,108.83
10/21/2003,112.5,114,112,113,11377400,110.3
10/22/2003,113.5,114.5,113.5,114,6161300,111.28
10/23/2003,112.5,113,109.5,110,16305500,107.37
10/24/2003,110.5,111,109.5,110.5,10392200,107.86
10/27/2003,110.5,111,110,110.5,5103200,107.86
10/28/2003,111,113.5,111,113.5,9720500,110.79
10/29/2003,114.5,115,114,114.5,9432300,111.76
10/30/2003,116,116,114.5,115.5,13479600,112.74
10/31/2003,116.5,117,116,117,14036900,114.2
11/3/2003,116.5,118.5,116.5,119,7327200,116.16
11/4/2003,119.5,120.5,119,119.5,12284600,116.64
11/5/2003,118.5,119,117.5,119,8685000,116.16
11/6/2003,116.5,117.5,115,116,22890800,113.23
11/7/2003,116.5,117.5,115,117,12715100,114.2
11/10/2003,117.5,118.5,116.5,117.5,8614500,114.69
11/11/2003,116,117,115.5,116,8263400,113.23
11/12/2003,116.5,117,115.5,116.5,5615700,113.72
11/13/2003,117.5,119,117.5,119,9767500,116.16
11/14/2003,119,119.5,118,118.5,8893300,115.67
11/17/2003,117,117.5,116.5,117.5,10510500,114.69
11/18/2003,117,118,116,117.5,8685800,114.69
11/19/2003,116.5,117,116,117,8033100,114.2
11/20/2003,116,116.5,115.5,116,7160500,113.23
11/21/2003,114,115.5,114,115,14401100,112.25
11/24/2003,116,117,115.5,116.5,7565600,113.72
11/25/2003,118,119,117.5,118.5,16927800,115.67
11/26/2003,117.5,118.5,117,118,7150600,115.3
11/27/2003,117.5,118.5,117,118,6064100,115.3
11/28/2003,118,119.5,117.5,119,10084200,116.27
12/1/2003,119,119.5,118.5,119.5,7081300,116.76
12/2/2003,119.5,120,119,119.5,7942700,116.76
12/3/2003,118.5,119.5,118,118.5,6572400,115.78
12/4/2003,118.5,119,118,118.5,3895300,115.78
12/5/2003,118,118.5,117,118,5485900,115.3
12/8/2003,117.5,117.5,116.5,117,6368100,114.32
12/9/2003,118,119.5,117.5,119,5836200,116.27
12/10/2003,118,119,118,119,5093400,116.27
12/11/2003,117.5,119,117,119,10710000,116.27
12/12/2003,119,119.5,119,119,6161800,116.27
12/15/2003,120,120.5,119.5,120,11218500,117.25
12/16/2003,118.5,119.5,117.5,118,9297900,115.3
12/17/2003,118,119,117.5,117.5,8077600,114.81
12/18/2003,118,119.5,117.5,118.5,5475200,115.78
12/19/2003,119.5,120.5,119,120,6397200,117.25
12/22/2003,120,121,120,121,3770000,118.23
12/23/2003,121,121.5,120.5,120.5,3717600,117.74
12/24/2003,121,121.5,121,121,1809700,118.23
12/25/2003,121,121,121,121,0,118.23
12/26/2003,121,121,121,121,0,118.23
12/29/2003,121,122,120.5,122,4147000,119.2
12/30/2003,122,123,121.5,122,8142700,119.2
12/31/2003,121.5,123,121.5,122.5,3378000,119.69
1/1/2004,122.5,122.5,122.5,122.5,0,119.69
1/2/2004,123,124.5,123,124,8097600,121.16
1/5/2004,123.5,124.5,123,124.5,7451100,121.65
1/6/2004,124.5,125,123.5,124,7574900,121.16
1/7/2004,125,126,125,126,7616600,123.11
1/8/2004,126,126,124,125.5,8566300,122.62
1/9/2004,126.5,127,126,126.5,9599700,123.6
1/12/2004,125.5,126,125,126,7412400,123.11
1/13/2004,125.5,126,125,126,7629900,123.11
1/14/2004,123.5,124.5,123.5,124,17581300,121.16
1/15/2004,123.5,124,122,122.5,14432400,119.69
1/16/2004,122,122.5,121,121.5,14694700,118.72
1/19/2004,121.5,122,120,122,10371000,119.2
1/20/2004,121.5,123.5,121,123.5,16725600,120.67
1/21/2004,123.5,125,123.5,125,8394700,122.14
1/22/2004,125,125,125,125,0,122.14
1/23/2004,125,125,125,125,0,122.14
1/26/2004,123.5,123.5,122.5,123.5,11167000,120.67
1/27/2004,122.5,123,122,123,11662400,120.18
1/28/2004,122,122,121,121,12527100,118.23
1/29/2004,120.5,121.5,120.5,121.5,12531600,118.72
