Date,Open,High,Low,Close,Volume,Adj Close
1/30/2009,12958.08,13390.12,12899.57,13278.21,3689336800,13278.21
1/29/2009,13560.07,13560.07,13109.27,13154.43,2662270000,13154.43
1/23/2009,12542.01,12734.8,12469.84,12578.6,2198158200,12578.6
1/22/2009,12844.37,12895.25,12657.1,12657.99,1878278600,12657.99
1/21/2009,12534.6,12762.54,12439.13,12583.63,3303948000,12583.63
1/20/2009,12854.4,13160.87,12816.25,12959.77,2521573600,12959.77
1/19/2009,13414.09,13519.18,13097.5,13339.99,2194428800,13339.99
1/16/2009,13278.97,13423.24,13113.45,13255.51,3467109600,13255.51
1/15/2009,13136.23,13300.75,12904.05,13242.96,4146204000,13242.96
1/14/2009,13807.03,14019.03,13674.96,13704.61,1537668800,13704.61
1/13/2009,13930.27,14118.93,13644.54,13668.05,3480885600,13668.05
1/12/2009,14312.26,14312.26,13895.04,13971,4111599600,13971
1/9/2009,14530.83,14673.6,14297.41,14377.44,3332496400,14377.44
1/8/2009,14755.81,14755.81,14334.15,14415.91,4374435600,14415.91
1/7/2009,15759.53,15763.55,14976.74,14987.46,9799120000,14987.46
1/6/2009,15612.47,15651.61,15367.93,15509.51,2484472200,15509.51
1/5/2009,15349.33,15563.31,15128.32,15563.31,2172620600,15563.31
1/2/2009,14448.22,15042.81,14412.12,15042.81,1752401800,15042.81
12/31/2008,14377.51,14527.1,14302.15,14387.48,1612195500,14387.48
12/30/2008,14476.74,14513.48,14189.08,14235.5,1441715600,14235.5
12/29/2008,14080.86,14332.02,13924.32,14328.48,1046621500,14328.48
12/26/2008,14184.14,14184.14,14184.14,14184.14,0,14184.14
12/24/2008,13855.89,14300.7,13855.89,14184.14,865498700,14184.14
12/23/2008,14472.03,14491.75,14084.86,14220.79,1494154600,14220.79
12/22/2008,15177.12,15227.43,14622.39,14622.39,1413014300,14622.39
12/19/2008,15235.22,15444.28,15014.98,15127.51,2420226800,15127.51
12/18/2008,15335.3,15548.26,15301.16,15497.81,1883006200,15497.81
12/17/2008,15544.97,15557.45,15179.38,15460.52,2180481600,15460.52
12/16/2008,15018.46,15217.25,14819.73,15130.21,1661605200,15130.21
12/15/2008,15363.49,15386.9,15007.42,15046.95,2021422000,15046.95
12/12/2008,15287.7,15393.09,14479.23,14758.39,2916320800,14758.39
12/11/2008,15533.62,15781.05,15337.73,15613.9,2477378600,15613.9
12/10/2008,14946,15578.96,14946,15577.74,2684204000,15577.74
12/9/2008,15032.33,15205.32,14717.47,14753.22,2440344400,14753.22
12/8/2008,14303.25,15044.87,14303.25,15044.87,3219421000,15044.87
12/5/2008,13718.92,13875.14,13656.92,13846.09,1750566000,13846.09
12/4/2008,13857.29,13883.87,13459.61,13509.78,1862633600,13509.78
