Date,Open,High,Low,Close,Volume,AdjClose
1/4/1984,9927,9927,9927,9927,0,9927
1/5/1984,9947,9947,9947,9947,0,9947
1/6/1984,9961,9961,9961,9961,0,9961
1/9/1984,9954,9954,9954,9954,0,9954
1/10/1984,10016,10016,10016,10016,0,10016
1/11/1984,10073,10073,10073,10073,0,10073
1/12/1984,10104,10104,10104,10104,0,10104
1/13/1984,10151,10151,10151,10151,0,10151
1/17/1984,10156,10156,10156,10156,0,10156
1/18/1984,10100,10100,10100,10100,0,10100
1/19/1984,10098,10098,10098,10098,0,10098
1/20/1984,10104,10104,10104,10104,0,10104
1/23/1984,10071,10071,10071,10071,0,10071
1/24/1984,10023,10023,10023,10023,0,10023
1/25/1984,10115,10115,10115,10115,0,10115
1/26/1984,10180,10180,10180,10180,0,10180
1/27/1984,10181,10181,10181,10181,0,10181
1/30/1984,10236,10236,10236,10236,0,10236
1/31/1984,10196,10196,10196,10196,0,10196
2/1/1984,10201,10201,10201,10201,0,10201
2/2/1984,10156,10156,10156,10156,0,10156
2/3/1984,10134,10134,10134,10134,0,10134
2/6/1984,10121,10121,10121,10121,0,10121
2/7/1984,10061,10061,10061,10061,0,10061
2/8/1984,10100,10100,10100,10100,0,10100
2/9/1984,10002,10002,10002,10002,0,10002
2/10/1984,9959,9959,9959,9959,0,9959
2/13/1984,9963,9963,9963,9963,0,9963
2/14/1984,9830,9830,9830,9830,0,9830
2/15/1984,9892,9892,9892,9892,0,9892
2/16/1984,9897,9897,9897,9897,0,9897
2/17/1984,9925,9925,9925,9925,0,9925
2/20/1984,9938,9938,9938,9938,0,9938
2/21/1984,9971,9971,9971,9971,0,9971
2/22/1984,9948,9948,9948,9948,0,9948
2/23/1984,9940,9940,9940,9940,0,9940
2/24/1984,9963,9963,9963,9963,0,9963
2/27/1984,10071,10071,10071,10071,0,10071
2/28/1984,10074,10074,10074,10074,0,10074
2/29/1984,10031,10031,10031,10031,0,10031
3/1/1984,9920,9920,9920,9920,0,9920
3/2/1984,9948,9948,9948,9948,0,9948
3/5/1984,10089,10089,10089,10089,0,10089
3/6/1984,10059,10059,10059,10059,0,10059
3/7/1984,10021,10021,10021,10021,0,10021
